cod_category,name_category,total_items,parti_num_items,cum_parti_num_items
MCO85779,Accesorios,55873,0.07047559999460645,67.24901630515
MCO441249,"Camas, Colchones y Accesorios",55402,0.0698815025307606,67.31889780768076
MCO1700,Conectividad y Redes,54926,0.06928109829978261,67.38817890598054
MCO5329,Ropa para Perros,54834,0.06916505378455158,67.45734395976508
MCO172901,"Plantas, Siembra y Cultivo",54789,0.06910829288036248,67.52645225264544
MCO432991,Juguetes Antiestrés e Ingenio,54729,0.06903261167477702,67.59548486432021
MCO117971,Preparación de Alimentos,54230,0.06840319631499128,67.6638880606352
MCO180801,Cuidado de la Salud,53875,0.06795541584861065,67.73184347648382
MCO1227,Otros,53636,0.06765395237969524,67.79949742886352
MCO431869,Organizadores de Ropa,53525,0.06751394214936213,67.86701137101288
MCO437215,Accesorios para el Cabello,53384,0.0673360913162363,67.93434746232911
MCO441759,Mantelería y Platos de Sitio,53122,0.06700561671851313,68.00135307904763
MCO176742,Arte y Manualidades,51773,0.0653040509462667,68.0666571299939
MCO116329,Anillos,51322,0.06473518055094934,68.13139231054485
MCO116391,Cortinas y Persianas,50982,0.06430632038596507,68.19569863093082
MCO169110,Extensiones y Cortinas,50968,0.06428866143799512,68.25998729236882
MCO157397,Decoración de Uñas,50709,0.06396197090055122,68.32394926326937
MCO1275,Otros,50500,0.06369834803442855,68.3876476113038
MCO180809,Ortopedia,50266,0.06340319133264524,68.45105080263644
MCO436810,Artículos para Bisutería,50120,0.0632190337323873,68.51426983636883
MCO5236,Otros,49868,0.06290117266892836,68.57717100903776
MCO180752,Accesorios de Limpieza,49820,0.06284062770446,68.64001163674222
MCO169111,Cepillos,49718,0.06271196965496471,68.70272360639719
MCO157245,Electrónicos para Niños,49683,0.06266782228503986,68.76539142868222
MCO116374,Cuchillos,49669,0.06265016333706992,68.82804159201929
MCO441358,Componentes de PC,49639,0.06261232273427719,68.89065391475357
MCO166167,Mugs,49499,0.06243573325457779,68.95308964800815
MCO439778,Otros Accesorios,48769,0.06151494525328803,69.01460459326144
MCO435360,Interruptores y Enchufes,48727,0.06146196840937821,69.07606656167081
MCO438203,Equipamiento para Camping,48586,0.06128411757625238,69.13735067924706
MCO165934,Bolígrafos y Plumas,48534,0.06121852719807831,69.19856920644514
MCO430918,Cables y Hubs USB,48149,0.060732906128904945,69.25930211257405
MCO1091,Peces,47952,0.06048441950389936,69.31978653207794
MCO165988,Lencería,47926,0.060451624314812324,69.38023815639275
MCO157280,Blusas,47704,0.06017160385414612,69.4404097602469
MCO3004,Baterías y Percusión,47044,0.059339110592706065,69.4997488708396
MCO180894,Barbería,46998,0.05928108833509055,69.55902995917468
MCO420077,Globos y Accesorios,46795,0.059025033589526404,69.6180549927642
MCO169847,Chasis,46771,0.05899476110729222,69.67704975387149
MCO113529,Llaves,46703,0.05890898907429537,69.73595874294578
MCO373499,Macetas y Materas,46676,0.058874932531781915,69.79483367547756
MCO432435,Colgantes y Soportes,46573,0.058745013128860206,69.85357868860642
MCO2818,Adultos,46151,0.05821272198290914,69.91179141058933
MCO155516,Estética y Cuidado,45993,0.058013428141534096,69.96980483873087
MCO433684,Vehículos a Control Remoto,45905,0.05790242904000876,70.02770726777088
MCO435877,Globos,45332,0.05717967352666762,70.08488694129754
MCO113520,Otros,45324,0.05716958269925622,70.1420565239968
MCO115343,Climatización,45208,0.057023265701791,70.19907978969859
MCO167820,Lámparas de Pared,45099,0.056885778178310746,70.2559655678769
MCO455326,Bases y Soportes,44788,0.05649349726269278,70.31245906513959
MCO435482,Interruptores,44650,0.05631943048984622,70.36877849562944
MCO1466,Casas,44444,0.05605959168400281,70.42483808731345
MCO455173,"Cajas, Cajones y Canastos",44404,0.05600913754694584,70.4808472248604
MCO5702,Higiene y Cuidado del Bebé,44214,0.05576948039592522,70.53661670525632
MCO432818,Juguetes de Oficios,43970,0.055461710159877685,70.5920784154162
MCO180942,Tinturas y Decolorantes,43656,0.055065645183980445,70.64714406060018
MCO1911,Otros,43101,0.05436559403231494,70.7015096546325
MCO439781,Equipamiento para Pescar,42698,0.05385726860146594,70.75536692323396
MCO1267,Otros,42643,0.0537878941630126,70.80915481739697
MCO436300,Artículos de Vino y Coctelería,42559,0.05368194047519296,70.86283675787216
MCO1889,Seguridad para Bebés,42552,0.05367311100120799,70.91650986887336
MCO441834,Billeteras y Monederos,42469,0.05356841866681477,70.97007828754018
MCO431676,Exhibidores y Joyeros,42313,0.05337164753229257,71.02344993507246
MCO174842,Repuestos de Exterior,42228,0.0532644324910465,71.07671436756351
MCO436389,"Sillas, Sofás y Butacos",42076,0.05307270677023001,71.12978707433373
MCO157281,Buzos,41974,0.05294404872073472,71.18273112305447
MCO166147,Sartenes,41900,0.05285070856717932,71.23558183162164
MCO441164,Cuentas,41711,0.052612312769585126,71.28819414439123
MCO172899,Macetas,41649,0.052534108857146815,71.34072825324837
